,PLD6F7~1,
Wavenumbers [1/cm],Intensity,
1296.926,1553.2041,
1294.015,1549.5268,
1291.105,1588.9994,
1288.194,1644.6958,
1285.283,1628.7349,
1282.373,1646.4843,
1279.462,1669.9631,
1276.552,1702.7846,
1273.641,1729.8197,
1270.731,1740.3108,
1267.820,1781.0899,
1264.909,1764.3962,
1261.999,1705.9423,
1259.088,1694.0847,
1256.178,1766.1738,
1253.267,1677.8724,
1250.356,1646.0205,
1247.446,1681.7521,
1244.535,1671.201,
1241.625,1623.0713,
1238.714,1609.4886,
1235.804,1616.5934,
1232.893,1616.3765,
1229.982,1610.4176,
1227.072,1641.1982,
1224.161,1614.7979,
1221.251,1580.3391,
1218.340,1549.645,
1215.430,1553.79,
1212.519,1575.4302,
1209.608,1565.8212,
1206.698,1526.5877,
1203.787,1523.5559,
1200.877,1537.381,
1197.966,1569.7507,
1195.055,1608.0647,
1192.145,1685.7526,
1189.234,1717.8093,
1186.324,1765.47,
1183.413,1780.6186,
1180.503,1767.8652,
1177.592,1785.7789,
1174.681,1763.077,
1171.771,1801.4684,
1168.860,1762.1724,
1165.950,1726.1234,
1163.039,1720.4702,
1160.129,1715.4764,
1157.218,1751.2761,
1154.307,1781.3891,
1151.397,1768.7594,
1148.486,1804.5163,
1145.576,1854.5633,
1142.665,1812.8314,
1139.754,1793.9161,
1136.844,1789.6747,
1133.933,1787.6155,
1131.023,1773.6284,
1128.112,1765.0885,
1125.202,1771.0272,
1122.291,1759.3804,
1119.380,1773.5396,
1116.470,1790.3076,
1113.559,1756.8055,
1110.649,1758.1622,
1107.738,1753.6586,
1104.828,1731.892,
1101.917,1717.6296,
1099.006,1733.0861,
1096.096,1768.6762,
1093.185,1757.2622,
1090.275,1766.0862,
1087.364,1769.7472,
1084.453,1762.5005,
1081.543,1762.9483,
1078.632,1775.4491,
1075.722,1788.8885,
1072.811,1806.5134,
1069.901,1780.3156,
1066.990,1748.4667,
1064.079,1789.011,
1061.169,1818.5549,
1058.258,1830.3038,
1055.348,1831.9079,
1052.437,1815.3911,
1049.527,1811.7512,
1046.616,1847.3732,
1043.705,1863.7072,
1040.795,1825.8722,
1037.884,1827.1561,
1034.974,1868.134,
1032.063,1879.2064,
1029.153,1824.4789,
1026.242,1825.3438,
1023.331,1820.3753,
1020.421,1882.8112,
1017.510,1923.2613,
1014.600,1926.6081,
1011.689,1907.6826,
1008.778,1888.9462,
1005.868,1921.375,
1002.957,1921.375,
1000.047,1989.807,
997.136,2038.868,
994.226,2046.4521,
991.315,2028.9814,
988.404,2011.7809,
985.494,1997.7612,
982.583,1970.3514,
979.673,1941.499,
976.762,1938.8331,
973.852,1948.6791,
970.941,1953.8931,
968.030,1949.4733,
965.120,1944.5218,
962.209,1979.476,
959.299,1970.5018,
956.388,1967.7348,
953.477,1981.8838,
950.567,2012.4919,
947.656,2047.9186,
944.746,2013.9363,
941.835,2011.5652,
938.925,2045.5936,
936.014,2051.2352,
933.103,2044.6714,
930.193,2044.7867,
927.282,2003.4878,
924.372,1950.2146,
921.461,1977.2494,
918.551,1942.3194,
915.640,1941.9456,
912.729,1988.9851,
909.819,1990.2613,
906.908,1966.6734,
903.998,1986.0545,
901.087,2026.3828,
898.176,2028.7188,
895.266,2038.2583,
892.355,2093.6214,
889.445,2057.5329,
886.534,2058.2099,
883.624,2051.6467,
880.713,2049.3957,
877.802,2023.9732,
874.892,1945.3272,
871.981,1813.4355,
869.071,1688.959,
866.160,1687.3838,
863.250,1824.2805,
860.339,1948.9664,
857.428,1971.6447,
854.518,2000.5696,
851.607,1938.1644,
848.697,1890.2329,
845.786,1870.7802,
842.875,1886.9011,
839.965,1944.3659,
837.054,2049.7378,
834.144,2082.0592,
831.233,2115.7064,
828.323,2116.5161,
825.412,2124.6246,
822.501,2167.5877,
819.591,2157.6709,
816.680,2115.7083,
813.770,2106.628,
810.859,2079.3981,
807.949,2046.2018,
805.038,2053.3529,
802.127,2094.5093,
799.217,2068.5594,
796.306,2057.2399,
793.396,2067.2759,
790.485,2072.7931,
787.574,2031.5858,
784.664,2089.8137,
781.753,2107.0848,
778.843,2118.7064,
775.932,2120.2764,
773.022,2104.8822,
770.111,2108.1525,
767.200,2087.0583,
764.290,2105.8016,
761.379,2140.9174,
758.469,2164.0731,
755.558,2155.1076,
752.648,2146.1469,
749.737,2128.0553,
746.826,2119.375,
743.916,2107.0891,
741.005,2075.4667,
738.095,2076.2786,
735.184,2030.6112,
732.274,1996.5981,
729.363,1993.4706,
726.452,2027.2154,
723.542,2092.7762,
720.631,2097.1395,
717.721,2116.2789,
714.810,2136.4659,
711.899,2152.5829,
708.989,2179.2115,
706.078,2163.3489,
703.168,2165.4472,
700.257,2180.927,
697.347,2184.1155,
694.436,2136.9205,
691.525,2157.0157,
688.615,2163.8906,
685.704,2167.9652,
682.794,2166.4602,
679.883,2153.4387,
676.973,2221.5552,
674.062,2217.5087,
671.151,2193.7868,
668.241,2185.9049,
665.330,2214.5598,
662.420,2176.2207,
659.509,2176.6291,
656.598,2180.9423,
653.688,2187.2763,
650.777,2210.915,
647.867,2226.8416,
644.956,2216.1345,
642.046,2154.721,
639.135,2077.4405,
636.224,2066.8365,
633.314,2158.9334,
630.403,2183.5574,
627.493,2185.9113,
624.582,2194.0253,
621.672,2219.3691,
618.761,2213.5355,
615.850,2255.454,
612.940,2293.7657,
610.029,2299.6902,
607.119,2307.5865,
604.208,2292.7547,
601.297,2326.7549,
598.387,2357.6295,
595.476,2330.5524,
592.566,2300.6438,
589.655,2333.6005,
586.745,2345.6956,
583.834,2334.5946,
580.923,2335.3276,
578.013,2327.4803,
575.102,2333.9788,
572.192,2324.6545,
569.281,2301.8584,
566.371,2332.3807,
563.460,2341.7242,
560.549,2369.7135,
557.639,2402.552,
554.728,2418.5374,
551.818,2405.272,
548.907,2398.1091,
545.996,2398.4853,
543.086,2398.0066,
540.175,2373.0899,
537.265,2362.6836,
534.354,2374.4257,
531.444,2386.8671,
528.533,2381.2027,
525.622,2392.8419,
522.712,2345.0145,
519.801,2311.9931,
516.891,2316.5397,
513.980,2342.0914,
511.070,2356.3489,
508.159,2396.2373,
505.248,2420.3547,
502.338,2377.6746,
499.427,2353.7479,
496.517,2365.476,
493.606,2398.555,
490.695,2437.3379,
487.785,2444.266,
484.874,2438.2665,
481.964,2419.0097,
479.053,2393.3301,
476.143,2376.4349,
473.232,2389.7631,
470.321,2396.8347,
467.411,2399.6413,
464.500,2403.6077,
461.590,2412.7966,
458.679,2410.9726,
455.769,2408.0051,
452.858,2409.6136,
449.947,2411.9054,
447.037,2413.5885,
444.126,2409.1992,
441.216,2401.6979,
438.305,2409.3172,
435.395,2402.5074,
432.484,2406.2933,
429.573,2405.6599,
426.663,2355.4906,
423.752,2167.2564,
420.842,1963.1564,
417.931,1796.8447,
415.020,1731.6259,
412.110,1996.4138,
409.199,2220.0472,
406.289,2348.4232,
403.378,2339.2521,
400.468,2302.9643,
397.557,2296.5165,
394.646,2326.6935,
391.736,2396.0269,
388.825,2416.3912,
385.915,2413.3277,
383.004,2421.0799,
380.094,2458.0717,
377.183,2412.9231,
374.272,2407.9739,
371.362,2424.0878,
368.451,2449.6546,
365.541,2487.1814,
362.630,2499.56,
359.719,2488.6484,
356.809,2458.964,
353.898,2468.6984,
350.988,2514.2315,
348.077,2532.0792,
345.167,2486.2019,
342.256,2463.0428,
339.345,2486.6667,
336.435,2505.6024,
333.524,2485.9857,
330.614,2505.3597,
327.703,2496.9997,
324.793,2483.375,
321.882,2483.4669,
318.971,2521.3825,
316.061,2537.7932,
313.150,2554.7702,
310.240,2597.8129,
307.329,2657.9752,
304.418,2692.3179,
301.508,2694.1504,
298.597,2651.9466,
295.687,2628.0578,
292.776,2640.4585,
289.866,2694.8843,
286.955,2806.4318,
284.044,2870.445,
281.134,2933.1821,
278.223,2993.6684,
275.313,3002.5106,
272.402,3052.59,
269.492,3064.8785,
266.581,3015.902,
263.670,3009.2854,
260.760,3037.6732,
257.849,3084.1088,
254.939,3137.6822,
252.028,3139.8227,
249.117,3151.7957,
246.207,3149.6539,
243.296,3088.8948,
240.386,3120.2485,
237.475,3140.7592,
234.565,3133.2076,
231.654,3081.3503,
228.743,3064.6213,
225.833,3034.4588,
222.922,2974.0161,
220.012,2944.8738,
217.101,2928.505,
214.191,2902.7974,
211.280,2840.963,
208.369,2771.1121,
205.459,2748.1585,
202.548,2769.648,
199.638,2817.5409,
196.727,2762.8388,
193.816,2731.3292,
190.906,2765.0737,
187.995,2670.9505,
185.085,2673.3663,
182.174,2689.2607,
179.264,2603.9744,
176.353,2586.6857,
173.442,2578.0243,
170.532,2564.8305,
167.621,2517.2461,
164.711,2438.679,
161.800,2314.7389,
158.890,2125.4506,
155.979,1938.3499,
153.068,1736.5038,
150.158,1525.6623,
147.247,1327.5075,
144.337,1102.6999,
141.426,868.12234,
138.516,630.11445,
135.605,446.14174,
132.694,315.00758,
129.784,222.20811,
126.873,139.25305,
123.963,97.904984,
