,PL4CC5~1,
Raman shift [1/cm],Intensity,
1267.820,640.41726,
1264.909,631.04172,
1261.999,571.18816,
1259.088,641.42149,
1256.178,656.75893,
1253.267,629.47157,
1250.356,615.88422,
1247.446,610.69136,
1244.535,609.61607,
1241.625,581.96212,
1238.714,534.33185,
1235.804,529.17835,
1232.893,552.00096,
1229.982,546.73575,
1227.072,520.4817,
1224.161,558.96918,
1221.251,533.12209,
1218.340,493.76909,
1215.430,490.73678,
1212.519,473.91219,
1209.608,450.83877,
1206.698,471.96553,
1203.787,484.625,
1200.877,485.34937,
1197.966,497.03844,
1195.055,510.42373,
1192.145,544.18142,
1189.234,568.24964,
1186.324,567.4424,
1183.413,555.76713,
1180.503,547.60147,
1177.592,550.82718,
1174.681,571.83733,
1171.771,552.00684,
1168.860,525.21415,
1165.950,533.10676,
1163.039,527.94257,
1160.129,516.36703,
1157.218,510.625,
1154.307,501.34937,
1151.397,483.53957,
1148.486,479.27342,
1145.576,488.7021,
1142.665,490.47792,
1139.754,489.81137,
1136.844,471.41713,
1133.933,456.58693,
1131.023,459.65063,
1128.112,473.62428,
1125.202,478.27719,
1122.291,469.88917,
1119.380,506.625,
1116.470,506.625,
1113.559,494.25302,
1110.649,475.56355,
1107.738,471.91154,
1104.828,471.464,
1101.917,469.76719,
1099.006,485.40836,
1096.096,510.58237,
1093.185,477.21827,
1090.275,514.27924,
1087.364,495.49396,
1084.453,485.99979,
1081.543,487.74856,
1078.632,496.34023,
1075.722,515.93246,
1072.811,507.81832,
1069.901,496.46593,
1066.990,482.6917,
1064.079,517.73378,
1061.169,537.8342,
1058.258,544.28334,
1055.348,548.27333,
1052.437,536.39344,
1049.527,505.3299,
1046.616,523.57531,
1043.705,549.51872,
1040.795,538.74687,
1037.884,528.625,
1034.974,536.07345,
1032.063,537.65615,
1029.153,508.85674,
1026.242,560.75412,
1023.331,563.45828,
1020.421,528.76993,
1017.510,534.91548,
1014.600,552.89379,
1011.689,560.89655,
1008.778,576.03856,
1005.868,572.57867,
1002.957,567.41654,
1000.047,613.94502,
997.136,647.48279,
994.226,658.625,
991.315,650.40471,
988.404,627.896,
985.494,608.56746,
982.583,605.99779,
979.673,582.21231,
976.762,565.40557,
973.852,584.81959,
970.941,609.80824,
968.030,591.67121,
965.120,580.5892,
962.209,572.06378,
959.299,579.83224,
956.388,600.98389,
953.477,608.04856,
950.567,598.625,
947.656,600.40757,
944.746,614.00046,
941.835,575.75396,
938.925,574.5216,
936.014,604.92796,
933.103,618.61979,
930.193,589.43375,
927.282,561.54157,
924.372,578.45371,
921.461,548.22339,
918.551,533.1394,
915.640,534.87444,
912.729,544.9187,
909.819,555.51295,
906.908,547.0887,
903.998,555.37401,
901.087,558.89801,
898.176,562.01098,
895.266,568.75119,
892.355,577.46794,
889.445,576.62867,
886.534,590.81782,
883.624,593.625,
880.713,600.25963,
877.802,582.30758,
874.892,539.01501,
871.981,549.38826,
869.071,539.36331,
866.160,558.32379,
863.250,576.53645,
860.339,601.80777,
857.428,623.63348,
854.518,585.7935,
851.607,591.61799,
848.697,569.23922,
845.786,551.87844,
842.875,559.25739,
839.965,580.3142,
837.054,560.91341,
834.144,586.60473,
831.233,584.95882,
828.323,573.71185,
825.412,558.86378,
822.501,547.75274,
819.591,565.10712,
816.680,521.55441,
813.770,531.29959,
810.859,544.97872,
807.949,543.86889,
805.038,538.11837,
802.127,550.46528,
799.217,560.56969,
796.306,550.57085,
793.396,547.63271,
790.485,554.83455,
787.574,541.34116,
784.664,560.20375,
781.753,566.30894,
778.843,560.76385,
775.932,557.32864,
773.022,563.97663,
770.111,553.34811,
767.200,556.43156,
764.290,551.26834,
761.379,552.53301,
758.469,561.625,
755.558,561.26031,
752.648,549.04125,
749.737,530.95806,
746.826,518.89523,
743.916,502.89755,
741.005,465.2886,
738.095,400.33846,
735.184,299.66724,
732.274,281.55731,
729.363,324.17851,
726.452,393.77426,
723.542,499.80479,
720.631,503.33138,
717.721,512.36337,
714.810,529.52266,
711.899,541.86261,
708.989,525.72411,
706.078,548.06148,
703.168,515.37008,
700.257,509.60331,
697.347,529.23447,
694.436,502.55953,
691.525,500.14812,
688.615,482.6444,
685.704,482.12226,
682.794,485.73148,
679.883,458.89573,
676.973,509.38209,
674.062,504.31103,
671.151,520.60981,
668.241,547.14529,
665.330,528.79305,
662.420,511.22095,
659.509,500.00583,
656.598,510.3385,
653.688,522.95377,
650.777,500.51699,
647.867,497.33168,
644.956,522.01015,
642.046,520.21188,
639.135,498.34992,
636.224,508.63694,
633.314,511.01875,
630.403,513.98984,
627.493,518.6976,
624.582,525.74386,
621.672,535.24779,
618.761,538.66476,
615.850,550.09377,
612.940,566.13876,
610.029,573.12821,
607.119,528.11927,
604.208,538.53528,
601.297,545.62204,
598.387,561.24324,
595.476,590.34564,
592.566,513.21295,
589.655,525.5406,
586.745,543.09675,
583.834,530.05828,
580.923,467.78138,
578.013,493.67761,
575.102,488.00606,
572.192,492.55909,
569.281,515.6566,
566.371,504.69987,
563.460,540.30935,
560.549,549.29038,
557.639,544.77351,
554.728,550.13229,
551.818,542.32913,
548.907,558.29798,
545.996,570.79137,
543.086,561.8882,
540.175,512.05486,
537.265,555.70315,
534.354,566.09964,
531.444,558.625,
528.533,556.96953,
525.622,533.69111,
522.712,546.22085,
519.801,559.91628,
516.891,562.84248,
513.980,558.971,
511.070,557.21631,
508.159,564.74363,
505.248,579.88406,
502.338,598.53463,
499.427,595.4473,
496.517,580.4836,
493.606,563.90464,
490.695,554.33675,
487.785,566.6534,
484.874,603.52109,
481.964,624.28611,
479.053,617.06438,
476.143,577.13032,
473.232,586.85486,
470.321,601.35653,
467.411,605.04023,
464.500,585.70257,
461.590,588.76553,
458.679,611.63678,
455.769,609.14583,
452.858,565.97709,
449.947,578.96393,
447.037,608.32246,
444.126,609.35834,
441.216,582.28644,
438.305,586.0961,
435.395,601.70464,
432.484,592.95491,
429.573,573.70755,
426.663,591.19078,
423.752,586.34823,
420.842,530.19274,
417.931,469.21063,
415.020,478.31092,
412.110,522.52179,
409.199,533.73503,
406.289,540.43201,
403.378,576.63012,
400.468,578.14211,
397.557,557.54487,
394.646,541.12649,
391.736,550.35941,
388.825,542.06286,
385.915,525.25577,
383.004,514.90935,
380.094,522.77479,
377.183,564.91346,
374.272,590.19451,
371.362,613.98675,
368.451,642.30286,
365.541,620.53731,
362.630,623.91109,
359.719,628.07339,
356.809,621.93576,
353.898,660.12447,
350.988,644.58564,
348.077,627.85236,
345.167,640.77637,
342.256,643.76464,
339.345,643.0307,
336.435,651.89592,
333.524,678.06129,
330.614,660.17755,
327.703,658.21884,
324.793,654.40685,
321.882,633.70072,
318.971,664.92531,
316.061,682.4614,
313.150,681.54169,
310.240,655.56763,
307.329,653.91036,
304.418,660.00835,
301.508,672.15424,
298.597,689.18383,
295.687,689.27052,
292.776,662.79153,
289.866,650.28996,
286.955,762.57623,
284.044,815.30996,
281.134,848.47421,
278.223,876.81634,
275.313,932.81735,
272.402,958.56668,
269.492,969.57556,
266.581,972.20306,
263.670,980.29004,
260.760,993.59505,
257.849,1016.4564,
