,PLC2BA~1,
Wavenumbers [1/cm],Intensity,
1131.023,771.52362,
1128.112,749.80083,
1125.202,785.80736,
1122.291,794.13107,
1119.380,809.90098,
1116.470,812.54857,
1113.559,732.4571,
1110.649,746.2012,
1107.738,773.37645,
1104.828,790.27749,
1101.917,795.40714,
1099.006,775.32855,
1096.096,786.55248,
1093.185,781.28446,
1090.275,793.01405,
1087.364,797.24725,
1084.453,801.24979,
1081.543,805.62788,
1078.632,812.88931,
1075.722,823.49888,
1072.811,822.55757,
1069.901,832.16344,
1066.990,809.43339,
1064.079,827.69299,
1061.169,812.36454,
1058.258,806.54397,
1055.348,828.46292,
1052.437,823.64344,
1049.527,793.15052,
1046.616,826.16604,
1043.705,837.58265,
1040.795,841.79051,
1037.884,831.74877,
1034.974,823.85438,
1032.063,824.34439,
1029.153,813.19859,
1026.242,840.8772,
1023.331,839.37516,
1020.421,865.36486,
1017.510,879.1161,
1014.600,893.13997,
1011.689,892.77079,
1008.778,852.80722,
1005.868,869.79778,
1002.957,861.19424,
1000.047,884.62701,
997.136,932.6385,
994.226,956.75197,
991.315,951.65718,
988.404,939.95783,
985.494,893.4914,
982.583,876.36028,
979.673,875.33829,
976.762,870.00398,
973.852,873.38917,
970.941,877.24377,
968.030,866.12937,
965.120,878.95734,
962.209,898.56581,
959.299,891.95951,
956.388,895.7145,
953.477,909.68452,
950.567,920.09073,
947.656,921.99719,
944.746,953.43076,
941.835,948.39649,
938.925,955.42965,
936.014,933.57204,
933.103,912.11213,
930.193,915.68011,
927.282,896.90437,
924.372,860.54328,
921.461,897.84982,
918.551,889.63766,
915.640,883.92354,
912.729,898.06993,
909.819,894.54054,
906.908,884.43144,
903.998,924.43858,
901.087,920.87186,
898.176,908.58024,
895.266,912.44477,
892.355,925.69203,
889.445,897.99621,
886.534,939.61859,
883.624,921.63455,
880.713,923.67532,
877.802,909.73628,
874.892,835.1811,
871.981,735.2845,
869.071,583.23936,
866.160,618.28141,
863.250,741.80411,
860.339,851.42738,
857.428,891.10976,
854.518,885.87704,
851.607,816.81529,
848.697,768.42069,
845.786,744.60947,
842.875,757.44971,
839.965,812.91437,
837.054,900.32157,
834.144,940.10168,
831.233,961.87399,
828.323,956.01613,
825.412,960.90492,
822.501,994.25787,
819.591,968.63949,
816.680,952.65061,
813.770,938.85096,
810.859,929.26507,
807.949,929.28478,
805.038,935.89711,
802.127,894.74074,
799.217,931.87151,
796.306,926.00999,
793.396,925.66905,
790.485,932.02857,
787.574,870.6187,
784.664,916.54499,
781.753,911.45532,
778.843,919.57747,
775.932,934.875,
773.022,936.39657,
770.111,946.20751,
767.200,929.36481,
764.290,941.21134,
761.379,949.54246,
758.469,946.014,
755.558,957.85069,
752.648,957.03608,
749.737,941.86085,
746.826,922.68569,
743.916,910.9919,
741.005,917.72661,
738.095,951.82544,
735.184,917.97684,
732.274,840.29321,
729.363,799.00537,
726.452,834.28357,
723.542,864.23112,
720.631,919.39273,
717.721,923.84524,
714.810,949.13614,
711.899,991.3304,
708.989,933.2318,
706.078,978.54927,
703.168,958.90673,
700.257,950.83959,
697.347,965.91868,
694.436,959.0714,
691.525,966.30564,
688.615,939.574,
685.704,922.875,
682.794,928.96004,
679.883,950.56904,
676.973,988.23346,
674.062,1007.9986,
671.151,997.78013,
668.241,976.82799,
665.330,978.24891,
662.420,943.90344,
659.509,940.68459,
656.598,956.29025,
653.688,968.35398,
650.777,950.76608,
647.867,977.0449,
644.956,951.29835,
642.046,894.14657,
639.135,843.59992,
636.224,854.14158,
633.314,907.33545,
630.403,925.01347,
627.493,955.52836,
624.582,989.63386,
621.672,943.6982,
618.761,969.23282,
615.850,996.0576,
612.940,1013.9488,
610.029,1018.2967,
607.119,1008.8212,
604.208,1024.2053,
601.297,1046.329,
598.387,1047.5434,
595.476,1013.3606,
592.566,1029.1019,
589.655,1061.6779,
586.745,1059.6483,
583.834,1035.2162,
580.923,1032.7802,
578.013,1017.0855,
575.102,1003.124,
572.192,1017.6694,
569.281,1052.2352,
566.371,1026.4086,
563.460,1023.1695,
560.549,1039.4425,
557.639,1068.1547,
554.728,1097.5447,
