,PLAC5E~1,
Wavenumbers [1/cm],Intensity,
1186.324,738.60656,
1183.413,752.46888,
1180.503,737.71424,
1177.592,755.49092,
1174.681,716.73459,
1171.771,708.75137,
1168.860,703.39283,
1165.950,706.10016,
1163.039,697.79576,
1160.129,674.99964,
1157.218,678.70076,
1154.307,695.3909,
1151.397,692.875,
1148.486,700.06812,
1145.576,739.87276,
1142.665,716.78703,
1139.754,729.52032,
1136.844,739.87803,
1133.933,742.28849,
1131.023,715.90973,
1128.112,690.44591,
1125.202,710.40153,
1122.291,747.86151,
1119.380,713.00492,
1116.470,726.24284,
1113.559,707.77052,
1110.649,710.38799,
1107.738,709.51682,
1104.828,704.875,
1101.917,702.80391,
1099.006,695.94721,
1096.096,686.33747,
1093.185,677.55744,
1090.275,732.71465,
1087.364,711.56886,
1084.453,709.93661,
1081.543,712.5488,
1078.632,701.24821,
1075.722,706.45712,
1072.811,733.07549,
1069.901,707.75092,
1066.990,719.61663,
1064.079,726.27757,
1061.169,738.36872,
1058.258,735.86438,
1055.348,720.28708,
1052.437,717.72708,
1049.527,712.34493,
1046.616,724.50854,
1043.705,720.47964,
1040.795,736.75313,
1037.884,743.33484,
1034.974,729.81959,
1032.063,709.2982,
1029.153,704.2106,
1026.242,756.97294,
1023.331,728.87692,
1020.421,750.06196,
1017.510,757.39279,
1014.600,763.60239,
1011.689,760.05586,
1008.778,715.96905,
1005.868,704.36534,
1002.957,647.58195,
1000.047,697.84302,
997.136,786.83013,
994.226,837.44418,
991.315,832.43689,
988.404,808.44304,
985.494,795.89418,
982.583,796.75074,
979.673,784.43701,
976.762,775.76529,
973.852,778.62113,
970.941,787.06052,
968.030,785.36626,
965.120,760.05758,
962.209,803.53723,
959.299,788.91928,
956.388,773.71539,
953.477,773.3963,
950.567,793.46903,
947.656,830.09243,
944.746,816.49954,
941.835,782.67265,
938.925,816.33216,
936.014,830.79343,
933.103,824.58119,
930.193,816.08691,
927.282,777.47077,
924.372,788.46366,
921.461,823.01301,
918.551,780.26726,
915.640,758.72264,
912.729,785.29021,
909.819,790.87416,
906.908,783.29233,
903.998,774.92136,
901.087,777.96705,
898.176,788.51012,
895.266,797.1924,
892.355,795.04792,
889.445,779.94112,
886.534,811.60013,
883.624,838.73279,
880.713,808.55688,
877.802,737.91497,
874.892,650.48185,
871.981,523.3117,
869.071,287.72527,
866.160,333.11996,
863.250,542.76511,
860.339,714.69979,
857.428,751.18819,
854.518,774.62531,
851.607,662.29595,
848.697,587.84963,
845.786,525.50944,
842.875,534.9181,
839.965,648.66715,
837.054,794.05177,
834.144,809.79806,
831.233,844.20607,
828.323,852.45642,
825.412,841.33341,
822.501,835.3644,
819.591,843.62839,
816.680,850.28527,
813.770,853.75451,
810.859,844.04522,
807.949,828.94572,
805.038,821.9834,
802.127,806.34398,
799.217,806.36578,
796.306,811.98315,
793.396,807.69934,
790.485,798.87603,
787.574,814.3732,
784.664,827.495,
781.753,840.61074,
778.843,859.5973,
775.932,878.19591,
773.022,882.92989,
770.111,851.04434,
767.200,857.24944,
764.290,843.11654,
761.379,833.23821,
758.469,833.94527,
755.558,823.89614,
752.648,858.10949,
749.737,859.65269,
746.826,856.875,
743.916,833.14088,
741.005,770.49943,
738.095,758.32127,
735.184,686.79915,
732.274,644.67577,
729.363,655.41113,
726.452,709.76859,
723.542,753.47583,
720.631,787.98564,
717.721,813.91468,
714.810,838.8181,
711.899,858.55816,
708.989,852.90969,
706.078,860.88803,
703.168,861.66056,
700.257,856.33671,
697.347,847.26658,
