,PL1E3C~1,
Raman shift [1/cm],Intensity,
982.583,1019.1007,
979.673,1017.9266,
976.762,1030.742,
973.852,1025.7397,
970.941,1013.1493,
968.030,1020.445,
965.120,1005.9928,
962.209,1004.2878,
959.299,1033.0382,
956.388,1028.2011,
953.477,1010.0677,
950.567,1011.627,
947.656,1038.2282,
944.746,1055.2193,
941.835,1056.8098,
938.925,1046.4712,
936.014,1027.8485,
933.103,1021.7088,
930.193,1028.0073,
927.282,1005.8331,
924.372,1039.6574,
921.461,1021.1716,
918.551,1000.2195,
915.640,991.42494,
912.729,990.65822,
909.819,985.88795,
906.908,977.4637,
903.998,988.93046,
901.087,1006.6396,
898.176,1013.0912,
895.266,1008.7782,
892.355,1013.2665,
889.445,1062.7833,
886.534,1028.7703,
883.624,1037.4751,
880.713,1058.2693,
877.802,1075.1687,
874.892,1076.0138,
871.981,1044.3095,
869.071,1015.0701,
866.160,1013.4498,
863.250,1040.6859,
860.339,1056.8405,
857.428,1043.4261,
854.518,1041,
851.607,1041,
848.697,1029.3071,
845.786,1019.3293,
842.875,1026.5351,
839.965,1042.2523,
837.054,1016.5024,
834.144,1061.255,
831.233,1060.6673,
828.323,1049.076,
825.412,1052.9467,
822.501,1069.1488,
819.591,1031.1344,
816.680,1019.5833,
813.770,995.07241,
810.859,980.64628,
807.949,984.23661,
805.038,996.00884,
802.127,979.5463,
799.217,1002.5979,
796.306,984.32412,
793.396,961.27478,
790.485,962.89625,
787.574,984.40839,
784.664,968.82625,
781.753,988.81346,
778.843,986.2777,
775.932,988.35775,
773.022,1026.5216,
770.111,1036.3325,
767.200,1018.7285,
764.290,982.95035,
761.379,969.66509,
758.469,981.1166,
755.558,974.34038,
752.648,985.74483,
749.737,950.79102,
746.826,933.79733,
743.916,929.1817,
741.005,894.2355,
738.095,763.52333,
735.184,627.15491,
732.274,603.71718,
729.363,683.83164,
726.452,815.68748,
723.542,913.62408,
720.631,964.1078,
717.721,969.98016,
714.810,970.85223,
711.899,985.57427,
708.989,1000.9058,
706.078,1019.43,
703.168,988.17397,
700.257,967.06286,
697.347,978.04263,
694.436,1006.5199,
691.525,988.8362,
688.615,985.62891,
685.704,976.07105,
682.794,972.12756,
679.883,1000.9187,
676.973,976.87758,
674.062,978.38082,
671.151,997.77988,
668.241,1006.5641,
665.330,970.18908,
662.420,974.18274,
659.509,977.53972,
656.598,980.29825,
653.688,980.15966,
650.777,974.86408,
647.867,1000.3466,
644.956,985.56805,
642.046,971.34161,
639.135,971.72492,
636.224,982.20292,
633.314,1022.6938,
630.403,1005.2131,
627.493,989.45667,
624.582,995.88286,
621.672,999.84283,
618.761,1027.3578,
615.850,1051.4277,
612.940,1057.1693,
610.029,1042.8163,
607.119,1035.7096,
604.208,1033.58,
601.297,1051.9437,
598.387,1060.3946,
595.476,1034.8913,
592.566,1044.3362,
589.655,1028.507,
586.745,1008.1508,
583.834,992.46291,
580.923,986.83888,
578.013,960.15792,
575.102,927.76211,
572.192,936.86819,
569.281,986.297,
566.371,982.38388,
563.460,992.58202,
560.549,1006.2583,
557.639,1015.7314,
554.728,1018.6461,
