,PL7E9D~1,
Wavenumbers [1/cm],Intensity,
1459.918,642.37455,
1457.008,655.61142,
1454.097,637.50684,
1451.186,641.30512,
1448.276,636.29112,
1445.365,596.9293,
1442.455,594.5439,
1439.544,572.37764,
1436.633,588.26342,
1433.723,533.64047,
1430.812,501.88743,
1427.902,552.87056,
1424.991,515.90783,
1422.081,516.58495,
1419.170,525.3906,
1416.259,534.04057,
1413.349,500.25367,
1410.438,485.95088,
1407.528,478.95632,
1404.617,498.648,
1401.707,455.39667,
1398.796,395.6696,
1395.885,398.91151,
1392.975,404.83292,
1390.064,392.34188,
1387.154,405.98366,
1384.243,396.40325,
1381.332,342.87671,
1378.422,313.44068,
1375.511,346.22801,
1372.601,430.6129,
1369.690,437.75,
1366.780,479.72786,
1363.869,511.81783,
1360.958,499.94351,
1358.048,499.24299,
1355.137,534.66262,
1352.227,563.95263,
1349.316,591.46857,
1346.406,631.94312,
1343.495,622.30744,
1340.584,588.28462,
1337.674,661.46521,
1334.763,675.67943,
1331.853,673.82497,
1328.942,663.07643,
1326.032,674.79993,
1323.121,665.1536,
1320.210,728.67391,
1317.300,764.5207,
1314.389,796.07004,
1311.479,811.6433,
1308.568,819.89338,
1305.657,847.61159,
1302.747,821.34055,
1299.836,888.53868,
1296.926,876.04013,
1294.015,946.82805,
1291.105,936.54187,
1288.194,995.45447,
1285.283,1025.0701,
1282.373,1014.9297,
1279.462,1021.6713,
1276.552,1046.3642,
1273.641,1041.1493,
1270.731,1017.2187,
1267.820,1020.4934,
1264.909,976.65139,
1261.999,997.61685,
1259.088,993.96836,
1256.178,1040.8551,
1253.267,991.21034,
1250.356,963.59119,
1247.446,978.69872,
1244.535,965.49561,
1241.625,924.83152,
1238.714,916.02494,
1235.804,942.02668,
1232.893,948.25848,
1229.982,908.6461,
1227.072,876.05487,
1224.161,882.99554,
1221.251,889.96156,
1218.340,860.65503,
1215.430,861.36713,
1212.519,840.43476,
1209.608,795.97812,
1206.698,799.64379,
1203.787,819.75,
1200.877,820.8087,
1197.966,837.89272,
1195.055,873.73319,
1192.145,931.59269,
1189.234,983.13599,
1186.324,1007.2051,
1183.413,993.64338,
1180.503,1017.2913,
1177.592,1079.4766,
1174.681,983.7637,
1171.771,990.19365,
1168.860,966.08024,
1165.950,953.26824,
1163.039,968.90847,
1160.129,954.33551,
1157.218,959.90238,
1154.307,995.36486,
1151.397,1012.8398,
1148.486,1006.0958,
1145.576,1028.9768,
1142.665,988.13282,
1139.754,1033.5677,
1136.844,1025.1415,
1133.933,1006.1929,
1131.023,973.72892,
1128.112,942.89327,
1125.202,955.14125,
1122.291,1006.6166,
1119.380,984.78465,
1116.470,988.31476,
1113.559,948.54105,
1110.649,949.84691,
1107.738,950.856,
1104.828,945.75,
1101.917,946.93348,
1099.006,950.97677,
1096.096,955.88995,
1093.185,941.8419,
1090.275,968.26519,
1087.364,947.30509,
1084.453,940.37464,
1081.543,964.46994,
1078.632,982.54193,
1075.722,973.52018,
1072.811,1000.8884,
1069.901,974.69061,
1066.990,962.24169,
1064.079,977.44336,
1061.169,993.48222,
1058.258,1006.9493,
1055.348,1010.5769,
1052.437,991.4863,
1049.527,970.75699,
1046.616,996.82187,
1043.705,987.41776,
1040.795,985.02701,
1037.884,990.80738,
1034.974,988.67397,
1032.063,977.22691,
