,PLE8F6~1,
Raman shift [1/cm],Intensity,
1032.063,813.97691,
1029.153,815.91545,
1026.242,819.37527,
1023.331,833.66576,
1020.421,826.74058,
1017.510,821.93972,
1014.600,828.26688,
1011.689,844.62676,
1008.778,862.06017,
1005.868,860.00194,
1002.957,915.92497,
1000.047,931.052,
997.136,967.56489,
994.226,969.6388,
991.315,946.76237,
988.404,953.09526,
985.494,935.4041,
982.583,931.12132,
979.673,922.45189,
976.762,918.3258,
973.852,924.57216,
970.941,934.9819,
968.030,940.45379,
965.120,951.37828,
962.209,922.39185,
959.299,923.16599,
956.388,929.41975,
953.477,922.63534,
950.567,920.26406,
947.656,951.82884,
944.746,939.0855,
941.835,945.78832,
938.925,961.31905,
936.014,940.67957,
933.103,923.03355,
930.193,936.10535,
927.282,918.63749,
924.372,921.17431,
921.461,914.8724,
918.551,913.08093,
915.640,900.32674,
912.729,893.77096,
909.819,917.38289,
906.908,863.46769,
903.998,888.33775,
901.087,913.32217,
898.176,919.68244,
895.266,914.5478,
892.355,914.54178,
889.445,925.45225,
886.534,917.15128,
883.624,935.68496,
880.713,948.05178,
877.802,956.75305,
874.892,969.60308,
871.981,973.29659,
869.071,922.33641,
866.160,932.12891,
863.250,947.31464,
860.339,943.83469,
857.428,930.7088,
854.518,948.23521,
851.607,939.08245,
848.697,922.36802,
845.786,901.48791,
842.875,902.83149,
839.965,929.67962,
837.054,930.7698,
834.144,954.80362,
831.233,960.16662,
828.323,952.09228,
825.412,949.93926,
822.501,957.54241,
819.591,924.48644,
816.680,931.51283,
813.770,912.19891,
810.859,893.18263,
807.949,885.77561,
805.038,884.80752,
802.127,870.81435,
799.217,885.15321,
796.306,884.25671,
793.396,894.68337,
790.485,912.81433,
787.574,891.43772,
784.664,889.7975,
781.753,914.99739,
778.843,894.66449,
775.932,886.11685,
773.022,938.80849,
770.111,908.5581,
767.200,898.12556,
764.290,902.43453,
761.379,898.04718,
758.469,891.24287,
755.558,919.89218,
752.648,899.52709,
749.737,875.26353,
746.826,857.50668,
743.916,838.331,
741.005,799.04563,
738.095,706.49168,
735.184,575.36997,
732.274,551.16538,
729.363,629.32295,
726.452,757.141,
723.542,843.74609,
720.631,895.13688,
717.721,909.5,
714.810,893.13079,
711.899,870.45051,
708.989,887.39593,
706.078,897.91694,
703.168,898.67834,
700.257,890.89885,
697.347,884.10842,
694.436,893.17267,
691.525,881.11559,
688.615,895.4806,
685.704,913.27048,
682.794,913.67032,
679.883,882.76152,
676.973,910.80949,
674.062,897.35754,
671.151,888.25332,
668.241,883.11431,
665.330,861.31517,
