,PLE5C1~1,
Wavenumbers [1/cm],Intensity,
1424.991,489.09842,
1422.081,437.16133,
1419.170,454.84057,
1416.259,447.03412,
1413.349,438.33307,
1410.438,421.67963,
1407.528,433.39977,
1404.617,432.80669,
1401.707,386.68934,
1398.796,349.07081,
1395.885,344.96161,
1392.975,355.35462,
1390.064,380.96688,
1387.154,393.44036,
1384.243,386.40875,
1381.332,366.15768,
1378.422,357.53432,
1375.511,380.01706,
1372.601,382.21814,
1369.690,404.66278,
1366.780,406.79093,
1363.869,439.06647,
1360.958,411.10181,
1358.048,424.78708,
1355.137,476.76194,
1352.227,500.54492,
1349.316,502.65212,
1346.406,525.65991,
1343.495,538.94985,
1340.584,490.4453,
1337.674,560.62297,
1334.763,530.68055,
1331.853,564.9881,
1328.942,569.04339,
1326.032,588.9499,
1323.121,608.19429,
1320.210,648.00288,
1317.300,651.79966,
1314.389,660.87536,
1311.479,691.04481,
1308.568,703.06471,
1305.657,695.375,
1302.747,713.16774,
1299.836,787.18339,
1296.926,813.26405,
1294.015,789.36163,
1291.105,793.65825,
1288.194,864.66439,
1285.283,882.375,
1282.373,846.93763,
1279.462,854.92347,
1276.552,897.88689,
1273.641,907.08878,
1270.731,892.13769,
1267.820,910.03691,
1264.909,916.375,
1261.999,914.57746,
1259.088,865.32292,
1256.178,870.08311,
1253.267,836.8512,
1250.356,841.27459,
1247.446,838.40064,
1244.535,822.45538,
1241.625,810.95278,
1238.714,797.72278,
1235.804,776.59345,
1232.893,780.8696,
1229.982,805.86562,
1227.072,820.35062,
1224.161,787.75485,
1221.251,784.35304,
1218.340,759.46252,
1215.430,748.67821,
1212.519,750.92224,
1209.608,742.93311,
1206.698,726.82175,
1203.787,720.77701,
1200.877,729.82374,
1197.966,753.20188,
1195.055,748.40226,
1192.145,796.96366,
1189.234,836.73152,
1186.324,852.10253,
1183.413,857.46637,
1180.503,882.28484,
1177.592,907.11202,
1174.681,853.50171,
1171.771,854.70469,
1168.860,868.99412,
1165.950,838.12342,
1163.039,822.69257,
1160.129,818.78514,
1157.218,834.23929,
1154.307,861.39268,
1151.397,878.11432,
1148.486,879.92256,
1145.576,893.21857,
1142.665,866.58119,
1139.754,870.88403,
1136.844,868.17318,
1133.933,871.65356,
1131.023,836.19104,
1128.112,803.08773,
1125.202,828.17208,
1122.291,849.63377,
1119.380,872.27106,
1116.470,861.68072,
1113.559,832.53803,
1110.649,832.23315,
1107.738,843.87645,
1104.828,842.05301,
1101.917,824.45759,
1099.006,817.56038,
1096.096,848.57982,
1093.185,802.92369,
1090.275,842.26632,
1087.364,841.39703,
1084.453,840.87471,
1081.543,831.22837,
1078.632,821.89647,
1075.722,845.5213,
1072.811,876.12679,
1069.901,872.63375,
1066.990,826.30011,
1064.079,845.31761,
1061.169,863.79341,
1058.258,864.4106,
1055.348,862.43271,
1052.437,861.7994,
1049.527,834.31486,
1046.616,858.64208,
1043.705,859.0627,
1040.795,842.41239,
1037.884,852.08729,
1034.974,866.27835,
1032.063,861.52108,
1029.153,871.80246,
1026.242,900.34602,
1023.331,868.87708,
1020.421,904.20109,
1017.510,927.41748,
1014.600,931.375,
1011.689,937.64655,
1008.778,950.29617,
1005.868,931.97345,
1002.957,887.23503,
1000.047,938.61502,
997.136,977.40745,
994.226,983.57509,
991.315,971.19926,
988.404,951.10635,
985.494,908.81614,
982.583,928.51693,
979.673,918.93701,
976.762,907.32977,
973.852,896.18686,
970.941,885.41119,
968.030,880.77966,
